compound_drug_id,compound_compound_name,compound_iupac,compound_smiles,compound_molecular_weight,compound_molecular_formula,compound_pharmacology
DB00001,Lepirudin,,,,,pending
DB00002,Cetuximab,,,,,pending
DB00003,Dornase alfa,,,,,pending
DB00004,Denileukin diftitox,,,,,pending
DB00005,Etanercept,,,,,pending
DB00006,Bivalirudin,(4S)-4-[(2S)-2-[(2S)-2-[(2S)-2-{2-[(2S)-2-(2-{2-[2-(2-{[(2S)-1-[(2S)-2-{[(2S)-1-[(2R)-2-amino-3-phen,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O),2178.985813062,C98H138N24O33,pending
DB00007,Leuprolide,(2S)-1-[(2S)-5-carbamimidamido-2-[(2S)-2-[(2R)-2-[(2S)-2-[(2S)-3-hydroxy-2-[(2S)-2-[(2S)-3-(1H-imida,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=,1208.645462232,C59H84N16O12,pending
DB00008,Peginterferon alfa-2a,,,,,pending
DB00009,Alteplase,,,,,pending
DB00010,Sermorelin,,,,,pending
DB00011,Interferon alfa-n1,,,,,pending
DB00012,Darbepoetin alfa,,,,,pending
DB00013,Urokinase,,,,,pending
DB00014,Goserelin,(2S)-1-[(2S)-2-[(2S)-2-[(2R)-3-(tert-butoxy)-2-[(2S)-2-[(2S)-3-hydroxy-2-[(2S)-2-[(2S)-3-(1H-imidazo,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=,1268.641439486,C59H84N18O14,pending
DB00015,Reteplase,,,,,pending
DB00016,Erythropoietin,,,,,pending
DB00017,Salmon Calcitonin,,,,,pending
DB00018,Interferon alfa-n3,,,,,pending
DB00019,Pegfilgrastim,,,,,pending
DB00020,Sargramostim,,,,,pending
DB00022,Peginterferon alfa-2b,,,,,pending
DB00023,Asparaginase Escherichia coli,,,,,pending
DB00024,Thyrotropin alfa,,,,,pending
DB00025,"Antihemophilic factor, human recombinant",,,,,pending
DB00026,Anakinra,,,,,pending
DB00027,Gramicidin D,(2R)-N-[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1S)-1-{[(1R)-1-{[(1,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O,1810.033419343,C96H135N19O16,pending
DB00028,Human immunoglobulin G,,,,,pending
DB00029,Anistreplase,,,,,pending
DB00030,Insulin human,,,,,pending
DB00031,Tenecteplase,,,,,pending
DB00032,Menotropins,,,,,pending
DB00033,Interferon gamma-1b,,,,,pending
DB00034,"Interferon alfa-2a, Recombinant",,,,,pending
DB00035,Desmopressin,"(2R)-2-{[(2S)-1-[(4R,7S,10S,13S,16S)-13-benzyl-10-(2-carbamoylethyl)-7-(carbamoylmethyl)-16-[(4-hydr",NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(,1068.426955905,C46H64N14O12S2,pending
DB00036,Coagulation factor VIIa Recombinant Human,,,,,pending
DB00038,Oprelvekin,,,,,pending
DB00039,Palifermin,,,,,pending
DB00040,Glucagon,,,,,pending
DB00041,Aldesleukin,,,,,pending
DB00042,Botulinum Toxin Type B,,,,,pending
DB00043,Omalizumab,,,,,pending
