group,variable,value
ABBVIE INC,ACETAMINOPHEN,49.33
ABBVIE INC,CLARITHROMYCIN,182.91
ABBVIE INC,DRONABINOL,29.46
ABBVIE INC,FENOFIBRATE,52.6
ABBVIE INC,HYDROCHLOROTHIAZIDE,118.36
ABBVIE INC,HYDROCODONE BITARTRATE,38.77
ABBVIE INC,IBUPROFEN,37.3
ABBVIE INC,RITONAVIR,145.78
ABBVIE INC,SIMVASTATIN,72.83
ALKEM LABORATORIES LTD,ACETAMINOPHEN,49.33
ALKEM LABORATORIES LTD,COLCHICINE,83.09
ALKEM LABORATORIES LTD,ESOMEPRAZOLE MAGNESIUM,77.1
ALKEM LABORATORIES LTD,EZETIMIBE,60.77
ALKEM LABORATORIES LTD,GABAPENTIN,63.32
ALKEM LABORATORIES LTD,ITRACONAZOLE,104.7
ALKEM LABORATORIES LTD,LANSOPRAZOLE,67.87
ALKEM LABORATORIES LTD,LINEZOLID,71.11
ALKEM LABORATORIES LTD,MYCOPHENOLATE MOFETIL,94.53
ALKEM LABORATORIES LTD,RABEPRAZOLE SODIUM,77.1
ALKEM LABORATORIES LTD,SIMVASTATIN,72.83
AMNEAL PHARMACEUTICALS NY LLC,ACETAMINOPHEN,49.33
AMNEAL PHARMACEUTICALS NY LLC,GABAPENTIN,63.32
AMNEAL PHARMACEUTICALS NY LLC,HYDROCODONE BITARTRATE,38.77
AMNEAL PHARMACEUTICALS NY LLC,IBUPROFEN,37.3
AMNEAL PHARMACEUTICALS NY LLC,NAPROXEN,46.53
AMNEAL PHARMACEUTICALS NY LLC,NAPROXEN SODIUM,46.53
AMNEAL PHARMACEUTICALS NY LLC,PREDNISONE,91.67
AMNEAL PHARMACEUTICALS NY LLC,SULFAMETHOXAZOLE,98.22
AMNEAL PHARMACEUTICALS NY LLC,TRIMETHOPRIM,105.51
GLENMARK PHARMACEUTICALS LTD,ETHINYL ESTRADIOL,40.46
GLENMARK PHARMACEUTICALS LTD,EZETIMIBE,60.77
GLENMARK PHARMACEUTICALS LTD,FENOFIBRATE,52.6
GLENMARK PHARMACEUTICALS LTD,GABAPENTIN,63.32
GLENMARK PHARMACEUTICALS LTD,HYDROCHLOROTHIAZIDE,118.36
GLENMARK PHARMACEUTICALS LTD,INDOMETHACIN,68.53
GLENMARK PHARMACEUTICALS LTD,NAPROXEN SODIUM,46.53
GLENMARK PHARMACEUTICALS LTD,RANOLAZINE,74.27
GLENMARK PHARMACEUTICALS LTD,SIMVASTATIN,72.83
GLENMARK PHARMACEUTICALS LTD,TRETINOIN,37.3
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,ACETAMINOPHEN,49.33
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,ASPIRIN,63.6
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,CAFFEINE,61.82
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,COLCHICINE,83.09
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,CORTISONE ACETATE,97.74
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,DOXYCYCLINE HYCLATE,181.62
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,HYDROCHLOROTHIAZIDE,118.36
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,HYDROCORTISONE,94.83
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,ISOSORBIDE MONONITRATE,91.06
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,METHOCARBAMOL,91.01
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,NAPROXEN,46.53
HIKMA INTERNATIONAL PHARMACEUTICALS LLC,RIFAMPIN,220.15
HOFFMANN LA ROCHE INC,BETA CAROTENE,0
HOFFMANN LA ROCHE INC,CLIDINIUM BROMIDE,46.53
HOFFMANN LA ROCHE INC,RIBAVIRIN,143.72
HOFFMANN LA ROCHE INC,SULFAMETHOXAZOLE,98.22
HOFFMANN LA ROCHE INC,TRIMETHOPRIM,105.51
JANSSEN PHARMACEUTICALS INC,ACETAMINOPHEN,49.33
JANSSEN PHARMACEUTICALS INC,CISAPRIDE,86.05
JANSSEN PHARMACEUTICALS INC,ETHINYL ESTRADIOL,40.46
JANSSEN PHARMACEUTICALS INC,ITRACONAZOLE,104.7
JANSSEN PHARMACEUTICALS INC,KETOCONAZOLE,69.06
JANSSEN PHARMACEUTICALS INC,LEVOFLOXACIN,75.01
JANSSEN PHARMACEUTICALS INC,NORGESTIMATE,58.89
JANSSEN PHARMACEUTICALS INC,RIVAROXABAN,88.18
JANSSEN PHARMACEUTICALS INC,TOPIRAMATE,115.54
NOVARTIS PHARMACEUTICALS CORP,BACLOFEN,63.32
NOVARTIS PHARMACEUTICALS CORP,CAFFEINE,61.82
NOVARTIS PHARMACEUTICALS CORP,CLOFAZIMINE,42.21
NOVARTIS PHARMACEUTICALS CORP,DEFERASIROX,108.47
NOVARTIS PHARMACEUTICALS CORP,DICLOFENAC POTASSIUM,49.33
NOVARTIS PHARMACEUTICALS CORP,HYDROCHLOROTHIAZIDE,118.36
NOVARTIS PHARMACEUTICALS CORP,MYCOPHENOLIC ACID,93.06
NOVARTIS PHARMACEUTICALS CORP,ONDANSETRON,39.82
NOVARTIS PHARMACEUTICALS CORP,TRIAMTERENE,129.62
NOVAST LABORATORIES LTD,ACETAMINOPHEN,49.33
NOVAST LABORATORIES LTD,ASPIRIN,63.6
NOVAST LABORATORIES LTD,CAFFEINE,61.82
NOVAST LABORATORIES LTD,COLCHICINE,83.09
NOVAST LABORATORIES LTD,DILTIAZEM HYDROCHLORIDE,59.08
NOVAST LABORATORIES LTD,ETHINYL ESTRADIOL,40.46
NOVAST LABORATORIES LTD,INDOMETHACIN,68.53
NOVAST LABORATORIES LTD,NIFEDIPINE,107.77
NOVAST LABORATORIES LTD,NORGESTIMATE,58.89
PURACAP PHARMACEUTICAL LLC,ACETAMINOPHEN,49.33
PURACAP PHARMACEUTICAL LLC,ALLOPURINOL,74.43
PURACAP PHARMACEUTICAL LLC,ASPIRIN,63.6
PURACAP PHARMACEUTICAL LLC,CAFFEINE,61.82
PURACAP PHARMACEUTICAL LLC,ERGOCALCIFEROL,20.23
PURACAP PHARMACEUTICAL LLC,METHOCARBAMOL,91.01
PURACAP PHARMACEUTICAL LLC,NAPROXEN SODIUM,46.53
PURACAP PHARMACEUTICAL LLC,PIOGLITAZONE HYDROCHLORIDE,68.29
