group,variable,mw,clogp,psa,hba,hbd
MYLAN PHARMACEUTICALS INC,ACEBUTOLOL HYDROCHLORIDE,336.43,1.53,87.66,5,3
MYLAN PHARMACEUTICALS INC,ALBUTEROL SULFATE,239.31,0.34,72.72,4,4
MYLAN PHARMACEUTICALS INC,ALLOPURINOL,136.11,-1.76,74.43,3,2
MYLAN PHARMACEUTICALS INC,AMBRISENTAN,378.43,2.97,81.54,5,1
MYLAN PHARMACEUTICALS INC,AMILORIDE HYDROCHLORIDE,229.63,-0.5,156.79,6,5
MYLAN PHARMACEUTICALS INC,AMOXICILLIN,365.41,-2.31,132.96,6,4
MYLAN PHARMACEUTICALS INC,ANAGRELIDE HYDROCHLORIDE,256.09,1.94,44.7,3,1
MYLAN PHARMACEUTICALS INC,AZATHIOPRINE,277.27,1.17,115.42,8,1
MYLAN PHARMACEUTICALS INC,BENAZEPRIL HYDROCHLORIDE,424.5,1.54,95.94,5,2
MYLAN PHARMACEUTICALS INC,CANDESARTAN CILEXETIL,610.67,8.17,143.34,11,1
MYLAN PHARMACEUTICALS INC,CARBIDOPA,226.23,-1.21,115.81,5,5
MYLAN PHARMACEUTICALS INC,CIPROFLOXACIN,331.35,-0.85,74.57,5,2
MYLAN PHARMACEUTICALS INC,CLARITHROMYCIN,747.96,3.24,182.91,14,4
MYLAN PHARMACEUTICALS INC,DILTIAZEM HYDROCHLORIDE,414.53,2.73,59.08,6,0
MYLAN PHARMACEUTICALS INC,DOXAZOSIN MESYLATE,451.48,2.14,112.27,9,1
MYLAN PHARMACEUTICALS INC,DOXYCYCLINE,444.44,-3.29,181.62,9,6
MYLAN PHARMACEUTICALS INC,DOXYCYCLINE HYCLATE,444.44,-3.29,181.62,9,6
MYLAN PHARMACEUTICALS INC,ENALAPRIL MALEATE,376.45,0.59,95.94,5,2
MYLAN PHARMACEUTICALS INC,EPROSARTAN MESYLATE,424.52,3.75,92.42,5,2
MYLAN PHARMACEUTICALS INC,FEBUXOSTAT,316.38,3.52,83.21,5,1
MYLAN PHARMACEUTICALS INC,GLIPIZIDE,445.55,1.43,130.15,6,3
MYLAN PHARMACEUTICALS INC,INDAPAMIDE,365.84,2.64,92.5,4,2
MYLAN PHARMACEUTICALS INC,IRBESARTAN,428.54,5.39,87.13,5,1
MYLAN PHARMACEUTICALS INC,LEVOFLOXACIN,361.37,0.51,75.01,6,1
MYLAN PHARMACEUTICALS INC,LIOTHYRONINE SODIUM,650.98,2.8,92.78,4,3
MYLAN PHARMACEUTICALS INC,LISINOPRIL,405.5,-3.1,132.96,5,4
MYLAN PHARMACEUTICALS INC,LOSARTAN POTASSIUM,422.92,4.06,92.51,6,2
MYLAN PHARMACEUTICALS INC,METHYLDOPA,211.22,-1.36,103.78,4,4
MYLAN PHARMACEUTICALS INC,MORPHINE SULFATE,285.34,0.9,52.93,4,2
MYLAN PHARMACEUTICALS INC,MYCOPHENOLATE MOFETIL,433.5,3.47,94.53,8,1
MYLAN PHARMACEUTICALS INC,NADOLOL,309.41,0.87,81.95,5,4
MYLAN PHARMACEUTICALS INC,NIACIN,123.11,-0.17,50.19,2,1
MYLAN PHARMACEUTICALS INC,OLMESARTAN MEDOXOMIL,558.6,4.54,162.16,11,2
MYLAN PHARMACEUTICALS INC,QUINAPRIL HYDROCHLORIDE,438.52,1.96,95.94,5,2
MYLAN PHARMACEUTICALS INC,RAMIPRIL,416.52,1.47,95.94,5,2
MYLAN PHARMACEUTICALS INC,SILDENAFIL CITRATE,474.59,1.23,113.42,8,1
MYLAN PHARMACEUTICALS INC,SOTALOL HYDROCHLORIDE,272.37,-0.4,78.43,4,3
MYLAN PHARMACEUTICALS INC,TAMSULOSIN HYDROCHLORIDE,408.52,2.04,99.88,6,2
MYLAN PHARMACEUTICALS INC,TELMISARTAN,514.63,6.13,72.94,5,1
MYLAN PHARMACEUTICALS INC,TRANDOLAPRIL,430.55,1.95,95.94,5,2
SANDOZ INC,ALLOPURINOL,136.11,-1.76,74.43,3,2
SANDOZ INC,AMOXICILLIN,365.41,-2.31,132.96,6,4
SANDOZ INC,BENAZEPRIL HYDROCHLORIDE,424.5,1.54,95.94,5,2
SANDOZ INC,BUMETANIDE,364.42,2.42,118.72,5,3
SANDOZ INC,CLARITHROMYCIN,747.96,3.24,182.91,14,4
SANDOZ INC,DILTIAZEM HYDROCHLORIDE,414.53,2.73,59.08,6,0
SANDOZ INC,DOXYCYCLINE,444.44,-3.29,181.62,9,6
SANDOZ INC,ENALAPRIL MALEATE,376.45,0.59,95.94,5,2
SANDOZ INC,FOLIC ACID,441.4,-0.69,213.28,9,6
SANDOZ INC,GLIPIZIDE,445.55,1.43,130.15,6,3
SANDOZ INC,IRBESARTAN,428.54,5.39,87.13,5,1
SANDOZ INC,ISONIAZID,137.14,-0.69,68.01,3,2
SANDOZ INC,LEVOFLOXACIN,361.37,0.51,75.01,6,1
SANDOZ INC,LISINOPRIL,405.5,-3.1,132.96,5,4
SANDOZ INC,LOSARTAN POTASSIUM,422.92,4.06,92.51,6,2
SANDOZ INC,METHYLDOPA,211.22,-1.36,103.78,4,4
SANDOZ INC,MYCOPHENOLATE MOFETIL,433.5,3.47,94.53,8,1
SANDOZ INC,NADOLOL,309.41,0.87,81.95,5,4
SANDOZ INC,NIACIN,123.11,-0.17,50.19,2,1
SANDOZ INC,RIFAMPIN,822.95,2.95,220.15,15,6
SANDOZ INC,TAMSULOSIN HYDROCHLORIDE,408.52,2.04,99.88,6,2
SANDOZ INC,TELMISARTAN,514.63,6.13,72.94,5,1
WATSON LABORATORIES INC,ACEBUTOLOL HYDROCHLORIDE,336.43,1.53,87.66,5,3
WATSON LABORATORIES INC,ALBUTEROL SULFATE,239.31,0.34,72.72,4,4
WATSON LABORATORIES INC,ALLOPURINOL,136.11,-1.76,74.43,3,2
WATSON LABORATORIES INC,AMBRISENTAN,378.43,2.97,81.54,5,1
WATSON LABORATORIES INC,AMILORIDE HYDROCHLORIDE,229.63,-0.5,156.79,6,5
WATSON LABORATORIES INC,AMINOPHYLLINE,180.17,-0.81,72.68,5,1
WATSON LABORATORIES INC,BENAZEPRIL HYDROCHLORIDE,424.5,1.54,95.94,5,2
WATSON LABORATORIES INC,BOSENTAN,551.63,4.94,145.65,10,2
WATSON LABORATORIES INC,CARBIDOPA,226.23,-1.21,115.81,5,5
WATSON LABORATORIES INC,DOXAZOSIN MESYLATE,451.48,2.14,112.27,9,1
WATSON LABORATORIES INC,DOXYCYCLINE,444.44,-3.29,181.62,9,6
WATSON LABORATORIES INC,DOXYCYCLINE HYCLATE,444.44,-3.29,181.62,9,6
WATSON LABORATORIES INC,ENALAPRIL MALEATE,376.45,0.59,95.94,5,2
WATSON LABORATORIES INC,FOLIC ACID,441.4,-0.69,213.28,9,6
WATSON LABORATORIES INC,GLIPIZIDE,445.55,1.43,130.15,6,3
WATSON LABORATORIES INC,INDAPAMIDE,365.84,2.64,92.5,4,2
WATSON LABORATORIES INC,IRBESARTAN,428.54,5.39,87.13,5,1
WATSON LABORATORIES INC,ISONIAZID,137.14,-0.69,68.01,3,2
WATSON LABORATORIES INC,LEVOFLOXACIN,361.37,0.51,75.01,6,1
WATSON LABORATORIES INC,LIOTHYRONINE SODIUM,650.98,2.8,92.78,4,3
WATSON LABORATORIES INC,LISINOPRIL,405.5,-3.1,132.96,5,4
WATSON LABORATORIES INC,LOSARTAN POTASSIUM,422.92,4.06,92.51,6,2
WATSON LABORATORIES INC,METHYLDOPA,211.22,-1.36,103.78,4,4
WATSON LABORATORIES INC,MORPHINE SULFATE,285.34,0.9,52.93,4,2
WATSON LABORATORIES INC,NEBIVOLOL HYDROCHLORIDE,405.44,3.21,70.95,5,3
WATSON LABORATORIES INC,NIACIN,123.11,-0.17,50.19,2,1
WATSON LABORATORIES INC,RAMIPRIL,416.52,1.47,95.94,5,2
WATSON LABORATORIES INC,SILDENAFIL CITRATE,474.59,1.23,113.42,8,1
WATSON LABORATORIES INC,SOTALOL HYDROCHLORIDE,272.37,-0.4,78.43,4,3
WATSON LABORATORIES INC,TICAGRELOR,522.58,2.28,138.44,11,4
WATSON LABORATORIES INC,TRANDOLAPRIL,430.55,1.95,95.94,5,2
