company,disease_class,compound,mw,clogp,arom,hba,hbd,rtb,psa,bpka,apka
AAIPHARMA LLC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C15 Hemic and Lymphatic Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C10 Nervous System Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C04 Neoplasms,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C14 Cardiovascular Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C12 Male Urogenital Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C17 Skin and Connective Tissue Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C08 Respiratory Tract Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C06 Digestive System Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C05 Musculoskeletal Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
AAIPHARMA LLC,C20 Immune System Diseases,AZATHIOPRINE,277.27,1.17,3,8,1,3,115.42,2.16,8.62
ABBVIE ENDOCRINE INC,C13 Female Urogenital Diseases and Pregnancy Complications,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C14 Cardiovascular Diseases,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C12 Male Urogenital Diseases,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C05 Musculoskeletal Diseases,NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE ENDOCRINE INC,C10 Nervous System Diseases,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C18 Nutritional and Metabolic Diseases,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C19 Endocrine System Diseases,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C04 Neoplasms,LEUPROLIDE ACETATE,1209.42,,,,,,,,
ABBVIE ENDOCRINE INC,C17 Skin and Connective Tissue Diseases,NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE ENDOCRINE INC,G08 Reproductive and Urinary Physiological Phenomena,NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE ENDOCRINE INC,C13 Female Urogenital Diseases and Pregnancy Complications,NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE ENDOCRINE INC,"C23 Pathological Conditions, Signs and Symptoms",NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE ENDOCRINE INC,C19 Endocrine System Diseases,NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE ENDOCRINE INC,C04 Neoplasms,NORETHINDRONE ACETATE,340.46,3.66,0,3,0,1,43.37,,
ABBVIE INC,C06 Digestive System Diseases,CYCLOSPORINE,1202.63,,,,,,,,
ABBVIE INC,C10 Nervous System Diseases,RITONAVIR,720.96,5.22,4,9,4,17,145.78,2.84,13.68
ABBVIE INC,"C16 Congenital, Hereditary, and Neonatal Diseases and Abnormalities",SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C14 Cardiovascular Diseases,VERAPAMIL HYDROCHLORIDE,454.61,5.04,2,6,0,13,63.95,9.68,
ABBVIE INC,"C23 Pathological Conditions, Signs and Symptoms",SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C07 Stomatognathic Diseases,SIMVASTATIN,418.57,4.46,0,5,1,6,72.83,,
ABBVIE INC,C14 Cardiovascular Diseases,CHOLINE FENOFIBRATE,318.76,4.36,2,3,1,5,63.6,,3.1
