ID,Name,Smiles
HSDB0001,HYOSCYAMINE,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
HSDB0926,ATROPINE,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
HSDB0002,OXYPEUCEDANIN,CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C
HSDB0003,RETRONECINE,C1CN2CC=C(C2C1O)CO
HSDB2000,HELIOTRIDINE,C1CN2CC=C(C2C1O)CO
HSDB0004,"1,1,1,2,3,3,3-HEPTAFLUOROPROPANE",C(C(F)(F)F)(C(F)(F)F)F
HSDB0005,"1,1,1,2-TETRACHLORO-2,2-DIFLUOROETHANE",C(C(Cl)(Cl)Cl)(F)(F)Cl
HSDB0006,"1,1,1,2-TETRACHLOROETHANE",C(C(Cl)(Cl)Cl)Cl
HSDB0007,"1,1,1,2-TETRAFLUOROETHANE",C(C(F)(F)F)F
HSDB0008,"1,1,1,3,3,3-HEXAFLUORO-2-PROPANONE",C(=O)(C(F)(F)F)C(F)(F)F
HSDB0009,"1,1,1,3,3,3-HEXAFLUOROPROPANE",C(C(F)(F)F)C(F)(F)F
HSDB0010,"1,1,1-TRIBROMO-2-METHYL-2-PROPANOL",CC(C)(C(Br)(Br)Br)O
HSDB0011,"1,1,1-TRICHLORO-2,2,2-TRIFLUOROETHANE",C(C(Cl)(Cl)Cl)(F)(F)F
HSDB0012,"1,1,1-TRICHLORO-2,2-DIPHENYLETHANE",C1=CC=C(C=C1)C(C2=CC=CC=C2)C(Cl)(Cl)Cl
HSDB0013,"1,1,1-TRICHLORO-3,4-EPOXYBUTANE",C1C(O1)CC(Cl)(Cl)Cl
HSDB0014,"1,1,1-TRICHLOROACETONE",CC(=O)C(Cl)(Cl)Cl
HSDB0015,"1,1,1-TRICHLOROETHANE",CC(Cl)(Cl)Cl
HSDB0016,"1,1,1-TRIFLUORO-2-CHLOROETHANE",C(C(F)(F)F)Cl
HSDB0017,"1,1,1-TRIFLUOROETHANE",CC(F)(F)F
HSDB0018,"1,1,2,2-TETRABROMOETHANE",C(C(Br)Br)(Br)Br
HSDB0019,"1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE",C(C(F)(Cl)Cl)(F)(Cl)Cl
HSDB0020,"1,1,2,2-TETRACHLORO-1-FLUOROETHANE",C(C(F)(Cl)Cl)(Cl)Cl
HSDB0021,"1,1,2,2-TETRACHLOROETHANE",C(C(Cl)Cl)(Cl)Cl
HSDB0022,"1,1,2,3,3,3-HEXAFLUORO-1-PROPENE",C(=C(F)F)(C(F)(F)F)F
HSDB0023,"1,1,2,3,3-PENTAMETHYLINDAN",CC1C(C2=CC=CC=C2C1(C)C)(C)C
HSDB0024,"1,1,2,3,4,4-HEXABROMO-2-BUTENE",C(C(=C(C(Br)Br)Br)Br)(Br)Br
